amountSpecified,oldPrice,newPrice,swapReceived
1900000000000000000000,1003614804882143088,1029805257466016068,1845549171847988067184
1905000000000000000000,1003614804882143088,1030060168122261380,1850260410501714507806
1910000000000000000000,1003614804882143088,1030315078778506693,1854969317936648395237
1915000000000000000000,1003614804882143088,1030569989434752005,1859675895882664997592
1920000000000000000000,1003614804882143088,1030824900090997317,1864380146067928473212
1925000000000000000000,1003614804882143088,1031079810747242629,1869082070218893985831
1930000000000000000000,1003614804882143088,1031334721403487941,1873781670060309816595
1935000000000000000000,1003614804882143088,1031589632059733253,1878478947315219472962
1940000000000000000000,1003614804882143088,1031844542715978565,1883173903704963794465
1945000000000000000000,1003614804882143088,1032099453372223877,1887866540949183055359
1950000000000000000000,1003614804882143088,1032354364028469189,1892556860765819064158
1955000000000000000000,1003614804882143088,1032609274684714502,1897244864871117260052
1960000000000000000000,1003614804882143088,1032864185340959814,1901930554979628806226
1965000000000000000000,1003614804882143088,1033119095997205126,1906613932804212680083
1970000000000000000000,1003614804882143088,1033374006653450438,1911295000056037760364
1975000000000000000000,1003614804882143088,1033628917309695750,1915973758444584911185
1980000000000000000000,1003614804882143088,1033883827965941062,1920650209677649062996
1985000000000000000000,1003614804882143088,1034138738622186374,1925324355461341290452
1990000000000000000000,1003614804882143088,1034393649278431686,1929996197500090887221
1995000000000000000000,1003614804882143088,1034648559934676998,1934665737496647437715
2000000000000000000000,1003614804882143088,1034903470590922310,1939332977152082885772
2005000000000000000000,1003614804882143088,1035158381247167623,1943997918165793600270
2010000000000000000000,1003614804882143088,1035413291903412935,1948660562235502437694
2015000000000000000000,1003614804882143088,1035668202559658247,1953320911057260801662
2020000000000000000000,1003614804882143088,1035923113215903559,1957978966325450699398
2025000000000000000000,1003614804882143088,1036178023872148871,1962634729732786795184
2030000000000000000000,1003614804882143088,1036432934528394183,1967288202970318460772
2035000000000000000000,1003614804882143088,1036687845184639495,1971939387727431822773
2040000000000000000000,1003614804882143088,1036942755840884807,1976588285691851807028
2045000000000000000000,1003614804882143088,1037197666497130119,1981234898549644179963
2050000000000000000000,1003614804882143088,1037452577153375432,1985879227985217586935
2055000000000000000000,1003614804882143088,1037707487809620744,1990521275681325587572
2060000000000000000000,1003614804882143088,1037962398465866056,1995161043319068688119
2065000000000000000000,1003614804882143088,1038217309122111368,1999798532577896370781
2070000000000000000000,1003614804882143088,1038472219778356680,2004433745135609120087
2075000000000000000000,1003614804882143088,1038727130434601992,2009066682668360446266
2080000000000000000000,1003614804882143088,1038982041090847304,2013697346850658905639
2085000000000000000000,1003614804882143088,1039236951747092616,2018325739355370118049
2090000000000000000000,1003614804882143088,4429264275975768864,2019575932074754692693
2095000000000000000000,1003614804882143088,7984430093583829398,2019717243503148546236
